Date,Amount
2014-09-01,8.43
2014-09-02,8.61
2014-09-03,8.80
2014-09-04,8.90
2014-09-05,8.96
2014-09-06,9.00
2014-09-07,9.03
2014-09-08,9.07
2014-09-09,9.15
2014-09-10,9.25
2014-09-11,9.29
2014-09-12,9.27
2014-09-13,9.22
2014-09-14,9.17
2014-09-15,9.12
2014-09-16,9.05
2014-09-17,8.98
2014-09-18,8.92
2014-09-19,8.85
2014-09-20,8.77
2014-09-21,8.70
2014-09-22,8.67
2014-09-23,8.64
2014-09-24,8.61
2014-09-25,8.53
2014-09-26,8.46
2014-09-27,8.39
2014-09-28,8.30
2014-09-29,8.18
2014-09-30,8.06
2014-10-01,7.96
2014-10-02,7.84
2014-10-03,7.69
2014-10-04,7.51
2014-10-05,7.38
2014-10-06,7.26
2014-10-07,7.17
2014-10-08,7.09
2014-10-09,6.99
2014-10-10,6.85
2014-10-11,6.70
2014-10-12,6.59
2014-10-13,6.51
2014-10-14,6.47
2014-10-15,6.44
2014-10-16,6.39
2014-10-17,6.35
2014-10-18,6.30
2014-10-19,6.24
2014-10-20,6.17
2014-10-21,6.11
2014-10-22,6.04
2014-10-23,5.95
2014-10-24,5.86
2014-10-25,5.78
2014-10-26,5.73
2014-10-27,5.69
2014-10-28,5.65
2014-10-29,5.63
2014-10-30,5.63
2014-10-31,5.58
2014-11-01,5.50
2014-11-02,5.44
2014-11-03,5.39
2014-11-04,5.35
2014-11-05,5.32
2014-11-06,5.31
2014-11-07,5.28
2014-11-08,5.24
2014-11-09,5.20
2014-11-10,5.21
2014-11-11,5.25
2014-11-12,5.27
2014-11-13,5.33
2014-11-14,5.33
2014-11-15,5.32
2014-11-16,5.33
2014-11-17,5.33
2014-11-18,5.34
2014-11-19,5.36
2014-11-20,5.40
2014-11-21,5.44
2014-11-22,5.49
2014-11-23,5.55
2014-11-24,5.61
2014-11-25,5.66
2014-11-26,5.72
2014-11-27,5.77
2014-11-28,5.82
2014-11-29,5.86
2014-11-30,5.92
2014-12-01,6.01
2014-12-02,6.11
2014-12-03,6.24
2014-12-04,6.38
2014-12-05,6.51
2014-12-06,6.61
2014-12-07,6.68
2014-12-08,6.81
2014-12-09,6.95
2014-12-10,7.07
2014-12-11,7.16
2014-12-12,7.20
2014-12-13,7.23
2014-12-14,7.23
2014-12-15,7.27
2014-12-16,7.33
2014-12-17,7.37
2014-12-18,7.41
2014-12-19,7.44
2014-12-20,7.47
2014-12-21,7.48
2014-12-22,7.51
2014-12-23,7.55
2014-12-24,7.58
2014-12-25,7.62
2014-12-26,7.64
2014-12-27,7.65
2014-12-28,7.66
2014-12-29,7.68
2014-12-30,7.74
2014-12-31,7.77
