Date,Amount
2014-01-01,16.73
2014-01-02,16.72
2014-01-03,16.72
2014-01-04,16.57
2014-01-05,16.43
2014-01-06,16.31
2014-01-07,16.20
2014-01-08,16.11
2014-01-09,15.98
2014-01-10,15.87
2014-01-11,15.77
2014-01-12,15.71
2014-01-13,15.77
2014-01-14,16.17
2014-01-15,16.67
2014-01-16,17.12
2014-01-17,17.30
2014-01-18,16.73
2014-01-19,16.17
2014-01-20,15.63
2014-01-21,15.12
2014-01-22,14.65
2014-01-23,14.36
2014-01-24,14.07
2014-01-25,13.79
2014-01-26,13.67
2014-01-27,13.58
2014-01-28,13.50
2014-01-29,13.39
2014-01-30,13.28
2014-01-31,13.17
2014-02-01,13.07
2014-02-02,12.91
2014-02-03,12.75
2014-02-04,12.63
2014-02-05,12.50
2014-02-06,12.37
2014-02-07,12.24
2014-02-08,12.10
2014-02-09,11.98
2014-02-10,11.84
2014-02-11,11.85
2014-02-12,11.84
2014-02-13,11.83
2014-02-14,11.73
2014-02-15,11.57
2014-02-16,11.41
2014-02-17,11.47
2014-02-18,11.79
2014-02-19,12.11
2014-02-20,12.39
2014-02-21,12.77
2014-02-22,13.13
2014-02-23,13.22
2014-02-24,13.30
2014-02-25,13.40
2014-02-26,13.36
2014-02-27,13.28
2014-02-28,13.32
2014-03-01,13.34
2014-03-02,13.36
2014-03-03,13.47
2014-03-04,13.62
2014-03-05,13.79
2014-03-06,13.92
2014-03-07,14.09
2014-03-08,14.21
2014-03-09,14.31
2014-03-10,14.40
2014-03-11,14.40
2014-03-12,14.38
2014-03-13,14.45
2014-03-14,14.32
2014-03-15,14.17
2014-03-16,14.02
2014-03-17,13.76
2014-03-18,13.55
2014-03-19,13.35
2014-03-20,13.06
2014-03-21,12.87
2014-03-22,12.66
2014-03-23,12.47
2014-03-24,12.23
2014-03-25,12.01
2014-03-26,11.94
2014-03-27,11.87
2014-03-28,11.79
2014-03-29,11.71
2014-03-30,11.65
2014-03-31,11.46
2014-04-01,11.28
2014-04-02,11.12
2014-04-03,10.89
2014-04-04,10.65
2014-04-05,10.42
2014-04-06,10.21
2014-04-07,10.10
2014-04-08,10.02
2014-04-09,9.94
2014-04-10,9.86
2014-04-11,9.83
2014-04-12,9.78
2014-04-13,9.65
2014-04-14,9.59
2014-04-15,9.52
2014-04-16,9.47
2014-04-17,9.50
2014-04-18,9.54
2014-04-19,9.58
2014-04-20,9.65
2014-04-21,9.62
2014-04-22,9.59
2014-04-23,9.57
2014-04-24,9.56
2014-04-25,9.55
2014-04-26,9.44
2014-04-27,9.33
2014-04-28,9.26
2014-04-29,9.20
2014-04-30,9.14
2014-05-01,9.11
2014-05-02,9.08
2014-05-03,8.98
2014-05-04,8.90
2014-05-05,8.84
2014-05-06,8.79
2014-05-07,8.65
2014-05-08,8.44
2014-05-09,8.23
2014-05-10,8.02
2014-05-11,7.82
2014-05-12,7.67
2014-05-13,7.55
2014-05-14,7.50
2014-05-15,7.52
2014-05-16,7.53
2014-05-17,7.51
2014-05-18,7.46
2014-05-19,7.40
2014-05-20,7.35
2014-05-21,7.30
2014-05-22,7.28
2014-05-23,7.30
2014-05-24,7.31
2014-05-25,7.31
2014-05-26,7.31
2014-05-27,7.35
2014-05-28,7.39
2014-05-29,7.40
2014-05-30,7.42
2014-05-31,7.44
2014-06-01,7.48
2014-06-02,7.63
2014-06-03,7.85
2014-06-04,8.02
2014-06-05,8.20
2014-06-06,8.38
2014-06-07,8.59
2014-06-08,8.79
2014-06-09,9.03
2014-06-10,9.27
2014-06-11,9.52
2014-06-12,9.74
2014-06-13,9.91
2014-06-14,10.04
2014-06-15,10.10
2014-06-16,10.20
2014-06-17,10.36
2014-06-18,10.52
2014-06-19,10.67
2014-06-20,10.80
2014-06-21,10.90
2014-06-22,11.00
2014-06-23,11.04
2014-06-24,11.09
2014-06-25,11.14
2014-06-26,11.19
2014-06-27,11.24
2014-06-28,11.25
2014-06-29,11.25
2014-06-30,11.26
2014-07-01,11.26
2014-07-02,11.24
2014-07-03,11.12
2014-07-04,10.99
2014-07-05,10.85
2014-07-06,10.72
2014-07-07,10.60
2014-07-08,10.49
2014-07-09,10.37
2014-07-10,10.21
2014-07-11,10.04
2014-07-12,9.84
2014-07-13,9.64
2014-07-14,9.47
2014-07-15,9.29
2014-07-16,9.10
2014-07-17,8.84
2014-07-18,8.59
2014-07-19,8.33
2014-07-20,8.08
2014-07-21,7.86
2014-07-22,7.66
2014-07-23,7.49
2014-07-24,7.33
2014-07-25,7.18
2014-07-26,7.03
2014-07-27,6.88
2014-07-28,6.73
2014-07-29,6.60
2014-07-30,6.49
2014-07-31,6.36
2014-08-01,6.25
2014-08-02,6.11
2014-08-03,6.02
2014-08-04,5.97
2014-08-05,5.96
2014-08-06,5.96
2014-08-07,5.95
2014-08-08,5.93
2014-08-09,5.91
2014-08-10,5.89
2014-08-11,5.92
2014-08-12,6.00
2014-08-13,6.09
2014-08-14,6.18
2014-08-15,6.29
2014-08-16,6.45
2014-08-17,6.64
2014-08-18,6.78
2014-08-19,6.94
2014-08-20,7.10
2014-08-21,7.23
2014-08-22,7.33
2014-08-23,7.42
2014-08-24,7.50
2014-08-25,7.61
2014-08-26,7.70
2014-08-27,7.79
2014-08-28,7.89
2014-08-29,8.01
2014-08-30,8.14
2014-08-31,8.29
2014-09-01,8.43
2014-09-02,8.61
2014-09-03,8.80
2014-09-04,8.90
2014-09-05,8.96
2014-09-06,9.00
2014-09-07,9.03
2014-09-08,9.07
2014-09-09,9.15
2014-09-10,9.25
2014-09-11,9.29
2014-09-12,9.27
2014-09-13,9.22
2014-09-14,9.17
2014-09-15,9.12
2014-09-16,9.05
2014-09-17,8.98
2014-09-18,8.92
2014-09-19,8.85
2014-09-20,8.77
2014-09-21,8.70
2014-09-22,8.67
2014-09-23,8.64
2014-09-24,8.61
2014-09-25,8.53
2014-09-26,8.46
2014-09-27,8.39
2014-09-28,8.30
2014-09-29,8.18
2014-09-30,8.06
2014-10-01,7.96
2014-10-02,7.84
2014-10-03,7.69
2014-10-04,7.51
2014-10-05,7.38
2014-10-06,7.26
2014-10-07,7.17
2014-10-08,7.09
2014-10-09,6.99
2014-10-10,6.85
2014-10-11,6.70
2014-10-12,6.59
2014-10-13,6.51
2014-10-14,6.47
2014-10-15,6.44
2014-10-16,6.39
2014-10-17,6.35
2014-10-18,6.30
2014-10-19,6.24
2014-10-20,6.17
2014-10-21,6.11
2014-10-22,6.04
